x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
,A1,A0,A0,A0,54.0,A2,A0,A0,A1,A1,A2,A1,94.1,A0
A35,A0,A0,A0,A0,4.0,A2,A2,A2,A2,A2,A0,A0,20.7,A0
A36,A1,A0,A0,A0,13.0,A1,A1,A0,A0,A0,A0,A2,31.05,A1
A37,A1,A0,A1,A0,63.0,A2,A0,A0,A1,A1,A2,A2,96.0,A0
A38,A0,A0,A0,A1,12.0,A2,A2,A2,A2,A2,A0,A1,21.05,A0
A39,A0,A1,A0,A0,5.0,A2,A0,A0,A0,A1,A0,A2,85.55,A0
A40,A1,A0,A1,A1,54.0,A0,A1,A0,A0,A0,A1,A3,59.8,A0
A41,A1,A1,A0,A0,52.0,A0,A1,A1,A0,A0,A1,A3,59.85,A0
A42,A1,A0,A1,A1,1.0,A2,A0,A0,A0,A0,A0,A2,69.8,A1
A43,A1,A1,A0,A0,49.0,A0,A0,A1,A1,A1,A0,A1,101.55,A0
A44,A0,A0,A0,A0,41.0,A2,A0,A0,A0,A0,A0,A2,74.25,A0
A45,A1,A0,A1,A1,47.0,A0,A1,A1,A1,A1,A1,A1,85.3,A0
A46,A0,A0,A0,A0,68.0,A0,A2,A2,A2,A2,A1,A0,24.55,A0
A47,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A2,19.95,
A48,A0,A0,A1,A1,19.0,A1,A1,A1,A0,A0,A0,A0,34.95,A0
A49,A1,A0,A1,A0,68.0,A0,A0,A0,A0,A0,A1,A1,90.2,A0
A50,A1,A0,A1,A0,71.0,A2,A2,A2,A2,A2,A1,A3,20.9,A0
A51,A1,A0,A0,A0,3.0,A2,A0,A0,A1,A0,A0,A2,83.75,A1
A52,A1,A0,A0,A1,46.0,A2,A0,A1,A1,A1,A2,A3,105.2,A1
A53,A1,A0,A1,A0,20.0,A1,A1,A0,A0,A0,A0,A2,24.45,A1
A54,A1,A0,A0,A0,5.0,A1,A1,A0,A1,A1,A0,A1,50.95,A0
A55,A1,A0,A0,A0,1.0,A2,A0,A0,A1,A0,A0,A2,84.3,A1
A56,A0,A0,A0,A0,33.0,A2,A0,A0,A0,A0,A0,A2,68.25,
A57,A1,A0,A1,A1,30.0,A2,A2,A2,A2,A2,A2,A3,19.55,A0
,A1,A0,A0,A0,20.0,A2,A2,A2,A2,A2,A2,A1,19.35,A0
A59,A1,A1,A0,A0,4.0,A2,A0,A0,A1,A0,A0,A2,78.85,A1
A60,A0,A0,A0,A0,69.0,A2,A0,A0,A1,A1,A2,A3,104.05,A1
A61,A1,A0,A0,A0,1.0,A2,A0,A0,A0,A0,A0,A2,69.2,A1
A62,A0,A0,A0,A0,1.0,A0,A0,A0,A0,A1,A0,A1,90.85,A1
A63,A1,A0,A0,A0,61.0,A0,A0,A1,A1,A1,A2,A2,118.6,A0
A64,A1,A0,A1,A1,69.0,A0,A0,A0,A0,A1,A1,A3,93.3,A0
A65,A1,A0,A0,A0,59.0,A0,A0,A1,A0,A1,A0,A3,99.45,A0
A66,A1,A0,A1,A0,25.0,A0,A1,A0,A0,A0,A0,A2,54.1,A0
A67,A0,A0,A0,A1,66.0,A2,A2,A2,A2,A2,A1,A1,19.95,A0
A68,A1,A0,A0,A1,46.0,A0,A0,A0,A0,A0,A0,A3,84.8,A0
A69,A0,A1,A1,A0,16.0,A2,A0,A0,A0,A0,A0,A3,71.8,A1
A70,A1,A0,A1,A1,37.0,A2,A2,A2,A2,A2,A0,A2,19.35,A0
A71,A0,A0,A1,A1,72.0,A0,A1,A1,A1,A1,A1,A1,83.55,A0
,A1,A1,A1,A0,8.0,A0,A0,A0,A0,A1,A0,A2,84.0,A1
A73,A1,A0,A0,A0,22.0,A2,A1,A0,A1,A0,A2,A3,65.25,A0
A74,A1,A0,A0,A0,72.0,A0,A0,A1,A0,A0,A1,A3,84.7,A0
A75,A1,A0,A0,A0,2.0,A2,A2,A2,A2,A2,A0,A0,19.95,A0
A76,A1,A0,A1,A0,71.0,A0,A1,A1,A1,A1,A1,A2,90.1,A0
A77,A1,A0,A0,A0,1.0,A1,A1,A0,A0,A0,A0,A0,30.55,A0
A78,A1,A0,A1,A1,71.0,A2,A1,A1,A0,A0,A1,A1,64.05,A0
A79,A1,A0,A1,A0,71.0,A0,A1,A0,A1,A1,A1,A3,80.45,A0
A80,A0,A0,A1,A1,70.0,A2,A0,A1,A1,A0,A1,A1,101.1,A0
A81,A0,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,20.45,A0
A82,A1,A0,A0,A1,8.0,A2,A2,A2,A2,A2,A0,A0,20.05,A0
A83,A1,A1,A0,A0,21.0,A1,A1,A1,A1,A0,A0,A2,41.9,A1
A84,A1,A0,A1,A0,34.0,A0,A0,A0,A1,A1,A0,A2,97.65,
A85,A1,A0,A0,A0,11.0,A2,A1,A1,A0,A0,A0,A1,48.55,A1
A86,A0,A0,A1,A0,17.0,A2,A0,A0,A0,A0,A0,A3,70.4,A1
A87,A0,A1,A0,A0,51.0,A0,A2,A2,A2,A2,A2,A3,25.0,A0
A88,A1,A0,A1,A1,72.0,A2,A2,A2,A2,A2,A1,A0,20.7,A0
A89,A1,A0,A1,A0,20.0,A2,A2,A2,A2,A2,A0,A3,19.25,A0
A90,A1,A1,A1,A0,31.0,A0,A0,A0,A1,A0,A2,A2,90.7,A0
A91,A0,A0,A0,A0,26.0,A2,A0,A0,A1,A1,A0,A2,98.65,A0
A92,A0,A0,A0,A0,39.0,A1,A1,A1,A1,A0,A0,A1,48.95,A1
A93,A0,A0,A0,A1,52.0,A0,A1,A1,A1,A1,A1,A0,85.15,A0
A94,A1,A1,A0,A0,13.0,A2,A0,A0,A0,A0,A0,A2,74.3,A1
A95,A0,A1,A0,A0,35.0,A0,A0,A0,A1,A1,A0,A2,101.4,
A96,A1,A0,A0,A0,7.0,A0,A0,A0,A0,A0,A0,A2,74.9,A1
A97,A0,A0,A1,A1,8.0,A2,A1,A0,A1,A0,A0,A2,54.4,A0
A98,A1,A0,A1,A1,61.0,A1,A1,A0,A1,A1,A1,A3,61.45,A0
A99,A0,A0,A0,A0,7.0,A0,A2,A2,A2,A2,A0,A0,23.5,A0
,A0,A0,A0,A0,10.0,A2,A2,A2,A2,A2,A0,A2,20.0,A0
A101,A0,A0,A1,A1,8.0,A2,A2,A2,A2,A2,A0,A0,19.35,A0
A102,A1,A0,A0,A0,60.0,A2,A0,A0,A1,A1,A1,A2,99.65,A0
A103,A1,A0,A0,A0,51.0,A0,A2,A2,A2,A2,A1,A3,24.95,A0
A104,A0,A0,A0,A0,1.0,A2,A1,A0,A0,A0,A0,A2,45.6,A1
A105,A0,A0,A1,A1,50.0,A2,A0,A0,A1,A1,A2,A3,103.4,A0
A106,A1,A0,A1,A0,68.0,A0,A1,A1,A1,A1,A1,A2,91.7,A0
A107,A0,A0,A1,A1,6.0,A2,A2,A2,A2,A2,A0,A1,19.85,A0
A108,A1,A0,A0,A0,37.0,A2,A2,A2,A2,A2,A1,A0,19.8,A0
A109,A0,A0,A1,A1,10.0,A0,A2,A2,A2,A2,A0,A0,24.4,A0
A110,A0,A1,A0,A0,1.0,A0,A0,A0,A0,A0,A0,A2,76.45,A1
A111,A1,A0,A0,A0,,A2,A0,A0,A1,A0,A0,A2,79.75,
A112,A0,A0,A1,A1,63.0,A0,A1,A1,A1,A1,A1,A1,89.4,A0
A113,A1,A0,A1,A1,65.0,A0,A1,A1,A1,A1,A1,A0,90.45,A0
A114,A1,A0,A0,A0,4.0,A0,A0,A0,A0,A0,A0,A0,80.3,A0
A115,A0,A0,A0,A0,12.0,A2,A1,A0,A0,A0,A0,A3,45.4,A1
A116,A0,A0,A0,A1,1.0,A2,A2,A2,A2,A2,A0,A0,19.55,A0
A117,A0,A0,A0,A0,4.0,A2,A1,A0,A1,A0,A0,A3,63.75,A0
A118,A0,A0,A0,A0,49.0,A0,A0,A0,A0,A0,A0,A3,74.6,A0
A119,A1,A0,A1,A1,24.0,A0,A0,A0,A0,A0,A2,A3,83.15,A0
A120,A1,A0,A0,A0,33.0,A2,A0,A0,A0,A0,A0,A3,70.4,A0
A121,A1,A0,A0,A0,4.0,A2,A0,A0,A0,A0,A0,A2,70.4,A1
A122,A0,A0,A0,A1,,A0,A1,A0,A0,A0,A0,A2,50.05,A0
A123,A1,A1,A0,A0,1.0,A2,A1,A1,A0,A0,A0,A2,55.8,A1
A124,A0,A0,A1,A1,58.0,A2,A2,A2,A2,A2,A2,A2,19.55,A0
A125,A1,A0,A1,A0,71.0,A2,A2,A2,A2,A2,A1,A1,19.1,A0
A126,A1,A0,A0,A0,19.0,A2,A1,A0,A1,A0,A2,A2,58.2,A0
A127,A0,A0,A0,A0,2.0,A2,A0,A0,A0,A0,A0,A1,70.7,A1
,A1,A0,A1,A1,59.0,A0,A1,A0,A1,A0,A1,A3,72.1,A0
A129,A1,A0,A1,A1,40.0,A2,A1,A1,A0,A1,A0,A0,71.35,A0
A130,A0,A1,A1,A0,7.0,A0,A0,A0,A0,A0,A0,A2,75.4,A0
A131,A1,A0,A0,A0,62.0,A0,A1,A0,A1,A1,A1,A3,84.5,A0
,A1,A0,A1,A0,2.0,A2,A0,A1,A0,A0,A0,A2,74.4,A1
A133,A1,A0,A0,A0,53.0,A1,A1,A1,A1,A0,A2,A2,53.6,
A134,A0,A0,A0,A0,14.0,A1,A1,A0,A0,A0,A0,A0,31.1,A0
A135,A0,A0,A0,A1,1.0,A2,A0,A0,A0,A0,A0,A2,75.35,A1
A136,A1,A1,A1,A0,71.0,A2,A0,A0,A1,A1,A1,A2,99.2,A0
A137,A1,A0,A1,A0,6.0,A0,A0,A0,A0,A1,A0,A2,90.75,A0
A138,A0,A0,A0,A1,66.0,A2,A2,A2,A2,A2,A1,A0,20.55,A0
A139,A1,A1,A0,A0,46.0,A0,A1,A0,A0,A1,A2,A1,69.1,A0
A140,A0,A0,A0,A0,36.0,A0,A0,A0,A0,A1,A0,A2,84.75,A1
A141,A0,A0,A0,A1,52.0,A2,A2,A2,A2,A2,A2,A1,19.65,A0
A142,A1,A0,A1,A0,47.0,A2,A2,A2,A2,A2,A1,A3,19.65,A0
A143,A0,A0,A1,A1,18.0,A2,A0,A1,A1,A0,A0,A0,87.9,A0
A144,A0,A0,A1,A1,28.0,A0,A0,A1,A1,A1,A2,A2,106.1,A1
A145,A0,A0,A1,A0,8.0,A2,A2,A2,A2,A2,A0,A3,19.55,A0
A146,A1,A0,A0,A0,71.0,A0,A0,A1,A1,A1,A1,A0,111.3,A0
A147,A1,A1,A0,A0,,A2,A0,A0,A0,A0,A0,A1,75.5,A0
A148,A1,A0,A1,A0,69.0,A2,A0,A1,A1,A1,A2,A1,106.4,A0
A149,A0,A0,A0,A0,58.0,A2,A0,A1,A1,A1,A2,A3,99.15,A0
A150,A0,A0,A0,A0,39.0,A0,A0,A0,A0,A0,A0,A2,75.25,A1
A151,A1,A0,A1,A1,72.0,A1,A1,A0,A1,A1,A1,A2,60.0,A0
A152,A0,A0,A1,A0,63.0,A2,A1,A1,A1,A0,A2,A1,70.8,A0
A153,A1,A1,A0,A0,59.0,A0,A0,A0,A0,A0,A1,A1,79.2,A0
A154,A0,A0,A1,A1,0.0,A2,A2,A2,A2,A2,A2,A0,19.7,A0
A155,A0,A0,A1,A0,55.0,A2,A1,A1,A0,A0,A1,A2,58.6,
A156,A1,A0,A1,A0,53.0,A0,A0,A0,A1,A1,A2,A3,108.95,A0
A157,A0,A0,A0,A0,15.0,A1,A1,A0,A0,A0,A0,A2,29.7,A1
A158,A1,A0,A0,A0,50.0,A2,A2,A2,A2,A2,A1,A1,19.4,A0
A159,A0,A0,A0,A0,5.0,A2,A1,A1,A0,A0,A0,A0,55.75,A0
A160,A0,A0,A1,A0,42.0,A0,A0,A1,A0,A1,A0,A2,94.4,A0
A161,A0,A1,A0,A0,14.0,A0,A0,A0,A1,A1,A0,A2,95.6,A0
A162,A1,A0,A0,A0,68.0,A0,A0,A1,A1,A1,A1,A1,110.25,A0
A163,A1,A0,A1,A1,70.0,A0,A1,A1,A1,A0,A1,A1,69.2,A0
A164,A0,A0,A1,A1,30.0,A2,A2,A2,A2,A2,A1,A0,21.25,A0
A165,A0,A0,A0,A0,71.0,A0,A0,A1,A1,A1,A2,A3,116.3,A0
A166,A0,A0,A0,A0,1.0,A2,A1,A0,A0,A0,A0,A0,44.4,A1
A167,A1,A0,A0,A0,22.0,A2,A0,A1,A0,A1,A0,A2,89.05,A0
A168,A0,A0,A0,A0,63.0,A0,A1,A1,A0,A1,A1,A3,71.9,A0
A169,A1,A0,A1,A0,54.0,A0,A0,A1,A1,A1,A2,A0,114.65,A0
A170,A1,A1,A0,A0,8.0,A2,A0,A0,A1,A1,A0,A2,92.1,A1
A171,A0,A0,A1,A1,27.0,A0,A1,A0,A1,A1,A0,A3,71.6,A0
A172,A0,A0,A1,A1,18.0,A2,A1,A0,A0,A1,A0,A2,57.45,A1
,A0,A1,A1,A0,41.0,A0,A0,A1,A0,A0,A0,A3,83.75,A1
A174,A0,A1,A0,A0,45.0,A2,A1,A1,A0,A1,A2,A1,62.7,A1
,A0,A0,A1,A1,72.0,A1,A1,A1,A0,A0,A1,A1,38.5,A0
A176,A0,A0,A1,A1,55.0,A2,A1,A1,A0,A0,A1,A3,57.55,A1
A177,A1,A0,A0,A0,1.0,A0,A0,A0,A0,A0,A0,A2,77.15,A1
A178,A0,A0,A1,A0,72.0,A0,A1,A1,A0,A1,A1,A1,79.55,A0
A179,A0,A0,A1,A1,60.0,A0,A0,A1,A1,A1,A1,A2,110.6,A0
A180,A0,A0,A0,A0,65.0,A2,A2,A2,A2,A2,A1,A1,19.55,A0
A181,A1,A0,A1,A0,32.0,A2,A2,A2,A2,A2,A0,A3,19.4,A0
A182,A1,A0,A0,A0,5.0,A2,A0,A0,A0,A1,A0,A1,85.4,A1
A183,A0,A0,A1,A1,66.0,A0,A1,A1,A1,A1,A1,A0,84.0,A0
A184,A1,A0,A1,A0,,A2,A0,A0,A1,A0,A0,A2,86.25,A1
A185,A1,A0,A1,A1,26.0,A0,A1,A0,A0,A0,A0,A2,60.05,A1
A186,A0,A0,A1,A0,71.0,A0,A1,A1,A0,A1,A1,A0,80.1,A0
A187,A1,A0,A1,A1,61.0,A1,A1,A0,A1,A0,A1,A1,51.35,A0
A188,A0,A1,A1,A0,68.0,A0,A0,A0,A0,A0,A0,A1,80.35,A0
A189,A1,A0,A1,A1,9.0,A2,A2,A2,A2,A2,A1,A0,20.35,A0
,A0,A0,A0,A0,10.0,A2,A0,A1,A1,A1,A0,A2,110.1,A1
,A0,A0,A0,A1,1.0,A1,A1,A0,A0,A0,A0,A2,25.3,A1
A192,A1,A1,A0,A0,2.0,A1,A1,A0,A0,A0,A0,A2,30.4,A1
A193,A0,A1,A1,A0,5.0,A0,A0,A0,A0,A0,A0,A3,79.9,A1
A194,A1,A1,A0,A0,,A1,A1,A0,A0,A0,A0,A2,28.45,A1
A195,A0,A0,A0,A0,63.0,A2,A2,A2,A2,A2,A2,A0,20.5,A0
A196,A0,A0,A0,A0,32.0,A2,A1,A0,A1,A1,A2,A3,64.85,A0
A197,A1,A0,A1,A0,72.0,A0,A0,A1,A1,A1,A1,A1,110.65,A0
A198,A1,A0,A1,A0,56.0,A0,A0,A0,A0,A0,A0,A2,90.55,A0
A199,A0,A0,A1,A0,67.0,A0,A0,A1,A1,A1,A2,A1,109.9,A0
A200,A1,A0,A1,A0,48.0,A0,A1,A1,A0,A0,A2,A3,60.6,A0
A201,A1,A0,A0,A1,16.0,A2,A2,A2,A2,A2,A2,A3,19.3,A0
A202,A0,A0,A0,A0,10.0,A2,A1,A0,A0,A0,A0,A1,44.85,A1
A203,A1,A0,A0,A0,53.0,A2,A0,A0,A1,A1,A2,A0,100.3,A0
A204,A0,A0,A1,A0,72.0,A0,A0,A1,A1,A1,A1,A1,116.95,A0
A205,A0,A0,A1,A1,11.0,A0,A0,A0,A0,A0,A0,A2,74.35,A1
,A0,A0,A1,A1,55.0,A2,A1,A1,A0,A1,A2,A1,59.45,A0
A207,A0,A0,A1,A0,68.0,A0,A0,A1,A1,A1,A0,A2,107.7,A0
,A1,A0,A1,A0,33.0,A2,A1,A0,A0,A0,A2,A0,51.45,A0
A209,A0,A1,A0,A0,67.0,unknown,A0,A0,A0,A0,A0,A0,75.7,A0
A210,A1,A0,A1,A0,7.0,A0,A0,A0,A1,A0,A0,A2,86.5,A1
A211,A1,A1,A0,A0,8.0,A2,A2,A2,A2,A2,A0,A2,19.65,A1
A212,A0,A0,A1,A1,53.0,A0,A0,A0,A1,A1,A2,A2,105.25,A0
,A1,A0,A1,A1,14.0,A2,A0,A0,A0,A0,A0,A2,70.2,A0
A214,A0,A0,A0,A0,1.0,A0,A0,A0,A0,A0,A0,A2,79.15,A1
A215,A1,A0,A0,A0,3.0,A2,A0,A0,A0,A0,A0,A2,70.25,A0
A216,A1,A0,A1,A0,,A2,A2,A2,A2,A2,A0,A0,19.6,A0
A217,A0,A0,A0,A0,12.0,A1,A1,A0,A0,A0,A0,A0,34.0,A0
A218,A1,A0,A1,A1,48.0,A2,A2,A2,A2,A2,A1,A3,20.65,A0
A219,A0,A0,A1,A0,9.0,A1,A1,A0,A1,A0,A0,A0,40.65,A1
A220,A0,A0,A0,A0,20.0,A2,A2,A2,A2,A2,A2,A0,19.7,A0
A221,A1,A1,A1,A0,40.0,A2,A0,A0,A1,A1,A2,A1,99.2,A1
A222,A1,A1,A0,A0,4.0,A0,A0,A0,A0,A1,A0,A2,84.6,A1
A223,A1,A0,A1,A1,38.0,A2,A2,A2,A2,A2,A0,A0,20.45,A0
A224,A1,A0,A0,A0,39.0,A1,A1,A0,A0,A0,A0,A3,41.1,A0
A225,A0,A0,A0,A0,9.0,A2,A2,A2,A2,A2,A2,A0,20.15,A0
,A1,A1,A1,A1,56.0,A2,A1,A1,A1,A1,A1,A1,72.6,A0
A227,A1,A0,A1,A0,24.0,A0,A0,A0,A0,A0,A0,A1,75.4,A1
,A1,A0,A1,A1,48.0,A1,A1,A1,A0,A1,A2,A1,45.0,
A229,A0,A0,A0,A1,15.0,A0,A2,A2,A2,A2,A0,A2,24.8,A0
A230,A0,A0,A1,A0,45.0,A0,A0,A0,A1,A1,A0,A3,107.75,A0
A231,A1,A0,A1,A1,10.0,A2,A1,A0,A0,A0,A0,A1,55.2,A1
,A0,A1,A0,A0,39.0,A0,A0,A0,A0,A1,A0,A2,90.7,
A233,A1,A0,A1,A0,15.0,A2,A0,A0,A1,A1,A0,A2,88.15,A1
A234,A1,A0,A1,A1,23.0,A2,A2,A2,A2,A2,A1,A0,19.65,A0
A235,A1,A0,A1,A0,,A1,A1,A1,A1,A1,A1,A3,64.55,A0
A236,A0,A0,A0,A0,4.0,A0,A0,A0,A0,A0,A0,A2,78.45,A1
A237,A0,A0,A0,A0,4.0,A2,A1,A0,A0,A0,A0,A2,45.9,A0
A238,A1,A1,A1,A0,1.0,A0,A0,A0,A1,A0,A0,A2,90.6,A1
A239,A1,A0,A1,A0,71.0,A2,A1,A1,A1,A1,A2,A3,84.8,A0
A240,A1,A0,A1,A0,21.0,A0,A0,A0,A1,A1,A0,A2,94.3,A0
A241,A1,A0,A0,A0,13.0,A0,A0,A0,A0,A0,A0,A0,75.0,A1
A242,A1,A0,A1,A1,55.0,A0,A1,A1,A1,A1,A1,A3,85.1,A0
A243,A0,A0,A1,A1,2.0,A2,A1,A0,A0,A0,A0,A2,44.5,A0
,A0,A1,A1,A0,72.0,A0,A0,A0,A1,A1,A1,A3,98.35,A0
A245,A0,A0,A1,A0,15.0,A2,A0,A0,A0,A0,A0,A3,68.6,A0
A246,A0,A0,A1,A0,51.0,A0,A0,A0,A1,A1,A0,A2,94.65,A1
A247,A1,A0,A1,A1,32.0,A2,A1,A1,A0,A0,A0,A3,61.4,A0
A248,A1,A0,A1,A0,21.0,A0,A0,A1,A1,A1,A0,A3,104.4,A1
A249,A0,A0,A1,A1,72.0,A2,A2,A2,A2,A2,A1,A2,20.35,A0
A250,A1,A0,A1,A0,20.0,A0,A0,A1,A0,A0,A0,A2,82.4,A1
,A0,A0,A0,A0,2.0,A2,A1,A0,A1,A1,A0,A2,70.3,A0
A252,A1,A0,A1,A0,67.0,A0,A0,A1,A1,A1,A2,A2,111.25,A0
,A0,A0,A0,A0,72.0,A0,A1,A1,A0,A0,A1,A3,69.65,A0
,A1,A1,A0,A0,18.0,A2,A2,A2,A2,A2,A2,A3,20.35,A0
A255,A1,A1,A0,A0,2.0,A2,A0,A0,A0,A0,A0,A2,69.6,
A256,A0,A0,A0,A0,,A2,A2,A2,A2,A2,A0,A3,20.15,A0
A257,A0,A1,A1,A1,56.0,A0,A0,A1,A1,A1,A2,A3,104.55,A1
A258,A1,A1,A0,A0,64.0,A2,A1,A1,A1,A0,A1,A1,70.2,A1
A259,A1,A0,A0,A0,10.0,A0,A0,A0,A0,A0,A0,A3,80.05,A1
A260,A1,A0,A1,A0,68.0,A0,A0,A1,A1,A1,A1,A3,114.9,A0
A261,A1,A0,A0,A0,1.0,A2,A2,A2,A2,A2,A0,A0,19.6,A1
,A1,A0,A0,A1,24.0,A2,A2,A2,A2,A2,A2,A3,21.05,A0
,A0,A0,A1,A0,9.0,A2,A0,A0,A1,A0,A0,A0,94.85,A1
A264,A0,A0,A0,A0,15.0,A1,A1,A0,A1,A1,A2,A2,50.75,A0
A265,A1,A0,A1,A0,49.0,A2,A2,A2,A2,A2,A2,A3,20.45,A0
A266,A1,A0,A1,A0,72.0,A0,A2,A2,A2,A2,A1,A3,24.65,A0
A267,A0,A0,A1,A1,72.0,A0,A1,A1,A0,A1,A1,A1,81.0,A0
,A1,A0,A1,A1,10.0,A2,A1,A0,A0,A1,A2,A0,65.9,A0
A269,A0,A0,A0,A0,26.0,A2,A0,A0,A0,A0,A2,A3,75.5,A0
A270,A0,A0,A1,A1,32.0,A1,A1,A0,A1,A1,A0,A1,50.6,A0
A271,A0,A1,A1,A0,69.0,A0,A0,A0,A0,A1,A0,A3,95.35,A0
A272,A0,A0,A1,A1,36.0,A2,A2,A2,A2,A2,A1,A1,19.45,A0
A273,A0,A0,A1,A1,1.0,A2,A0,A0,A1,A1,A0,A0,89.15,A1
A274,A0,A0,A0,A0,2.0,A2,A0,A0,A1,A0,A0,A2,79.0,A1
A275,A0,A0,A0,A0,5.0,A2,A0,A0,A1,A0,A0,A2,80.6,A1
A276,A1,A0,A1,A0,45.0,A0,A0,A1,A1,A1,A2,A0,113.3,A0
A277,A0,A1,A1,A0,17.0,A2,A0,A0,A0,A1,A0,A3,81.5,A1
A278,A0,A0,A1,A0,61.0,A0,A0,A1,A1,A0,A0,A3,99.4,A0
A279,A1,A1,A0,A0,15.0,A0,A0,A0,A0,A1,A0,A2,89.85,A1
A280,A1,A1,A0,A0,45.0,A0,A1,A1,A0,A1,A0,A2,70.05,A0
A281,A0,A0,A1,A1,67.0,A2,A1,A1,A0,A0,A1,A3,60.4,A0
A282,A0,A1,A0,A0,69.0,A0,A1,A1,A0,A1,A1,A1,74.1,A0
A283,A1,A0,A1,A1,64.0,A0,A2,A2,A2,A2,A2,A0,24.9,A0
A284,A1,A0,A1,A0,6.0,A0,A1,A0,A0,A0,A0,A2,50.35,A0
A285,A0,A0,A0,A0,11.0,A2,A2,A2,A2,A2,A2,A0,19.5,
A286,A1,A0,A0,A0,30.0,A2,A1,A1,A0,A0,A0,A0,48.8,A0
,A1,A0,A0,A0,8.0,A0,A0,A0,A0,A0,A0,A2,73.5,A0
A288,A1,A0,A0,A0,13.0,A1,A1,A0,A0,A0,A0,A2,23.9,A1
A289,A1,A1,A1,A0,19.0,A0,A0,A0,A1,A1,A0,A2,94.95,A0
A290,A1,A0,A0,A1,11.0,A1,A1,A0,A0,A0,A0,A2,25.2,A0
A291,A0,A0,A1,A0,30.0,A2,A2,A2,A2,A2,A2,A1,20.7,A0
A292,A0,A1,A1,A0,13.0,A2,A0,A0,A0,A0,A0,A3,70.45,A0
A293,A1,A0,A1,A1,1.0,A2,A2,A2,A2,A2,A0,A0,20.05,A0
A294,A1,A0,A0,A0,29.0,A2,A2,A2,A2,A2,A2,A0,20.35,A0
A295,A1,A1,A1,A0,2.0,A2,A1,A0,A0,A0,A0,A1,50.15,A1
A296,A0,A0,A1,A1,50.0,A0,A1,A0,A1,A0,A2,A2,69.65,
A297,A0,A0,A0,A1,19.0,A2,A2,A2,A2,A2,A0,A2,20.0,A0
